episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,6.7,9.7,310,caught,0.9995,0.9995,0.786747,0.13495
1,40.8,8.8,340,caught,0.999,0.999,1.618675,0.143905
2,33.0,-13.0,600,cleared,0.9985,0.9985,0.502101,0.261201
3,-5.55,4.45,485,timeout,0.998,0.998,0.693899,0.141893
4,18.5,-12.5,600,cleared,0.9975,0.9975,0.415577,0.28279
5,31.37,6.37,421,caught,0.997,0.997,0.143242,0.164243
6,26.5,-13.5,600,cleared,0.9965,0.9965,0.157212,0.125708
7,44.0,-10.0,600,cleared,0.996,0.996,0.152508,0.156425
8,26.5,-13.5,600,cleared,0.9955,0.9955,0.117062,0.145825
9,13.82,9.82,306,caught,0.995,0.995,1.363704,0.118545
10,53.5,-12.5,600,cleared,0.9945,0.9945,0.08296,0.166215
11,13.24,16.24,92,caught,0.994,0.994,0.10587,0.15965
12,9.88,12.88,204,caught,0.9935,0.9935,0.801751,0.14135
13,36.39,4.39,487,cleared,0.993,0.993,0.097974,0.181085
14,21.0,-15.0,600,cleared,0.9925,0.9925,0.122449,0.158634
15,-10.66,6.34,422,caught,0.992,0.992,0.065873,0.151283
16,9.0,-10.0,600,timeout,0.9915,0.9915,0.124581,0.165643
17,-3.79,13.21,193,caught,0.991,0.991,0.119469,0.144675
18,13.79,9.79,307,caught,0.9905,0.9905,0.269774,0.131769
19,11.59,14.59,147,caught,0.99,0.99,0.087578,0.116202
20,56.0,-15.0,600,cleared,0.9896,0.9896,0.109639,0.196003
21,32.0,-12.0,600,cleared,0.9891,0.9891,0.466202,0.152553
22,27.89,2.89,537,cleared,0.9886,0.9886,0.251502,0.191173
23,41.65,2.65,545,cleared,0.9881,0.9881,0.071137,0.397024
24,0.5,-15.5,600,timeout,0.9876,0.9876,0.09835,0.186725
25,16.35,5.35,455,caught,0.9871,0.9871,0.136694,0.159843
26,4.56,14.56,148,caught,0.9866,0.9866,0.693804,0.599399
27,1.98,11.98,234,caught,0.9861,0.9861,0.581318,0.218939
28,21.45,10.45,285,caught,0.9856,0.9856,0.281465,0.171723
29,11.11,14.11,163,caught,0.9851,0.9851,0.489749,0.440475
