episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
0,9.0,-14.0,400,timeout,0.9995,0.9995,0.411167,0.19467
1,-24.35,8.65,207,caught,0.999,0.999,0.152314,1.010118
2,-10.3,12.7,126,caught,0.9985,0.9985,1.678762,0.144705
3,11.0,-16.0,400,cleared,0.998,0.998,0.135559,0.166725
4,-16.45,11.55,149,caught,0.9975,0.9975,1.095516,0.133603
5,23.0,-13.0,400,cleared,0.997,0.997,0.346165,0.168497
6,-11.1,1.9,342,timeout,0.9965,0.9965,0.595008,0.581013
7,-3.5,-16.5,400,timeout,0.996,0.996,0.224052,0.310359
8,-15.25,7.75,225,caught,0.9955,0.9955,0.36855,0.156982
9,28.5,-13.5,400,cleared,0.995,0.995,0.435862,0.167709
10,2.25,10.25,175,caught,0.9945,0.9945,0.177127,0.176266
11,17.75,5.75,265,caught,0.994,0.994,0.508697,0.20998
12,-2.25,10.75,165,caught,0.9935,0.9935,0.236303,0.137695
13,-8.35,-0.35,387,timeout,0.993,0.993,0.735497,0.196718
14,12.5,-12.5,400,cleared,0.9925,0.9925,0.176029,0.154559
15,4.0,-14.0,400,timeout,0.992,0.992,0.258612,0.213838
16,15.0,-15.0,400,cleared,0.9915,0.9915,0.230159,0.143564
17,7.5,-17.5,400,timeout,0.991,0.991,0.259329,0.176933
18,0.0,-15.0,400,timeout,0.9905,0.9905,0.147051,0.159155
19,-15.35,12.65,127,caught,0.99,0.99,0.130944,0.127957
20,7.0,-17.0,400,timeout,0.9896,0.9896,0.297579,0.152242
21,4.0,-14.0,400,timeout,0.9891,0.9891,0.22274,0.142231
22,-3.3,9.7,186,caught,0.9886,0.9886,0.16278,0.301216
23,14.5,-14.5,400,cleared,0.9881,0.9881,0.141972,0.165784
24,-7.1,15.9,62,caught,0.9876,0.9876,0.343118,0.262999
25,-15.1,12.9,122,caught,0.9871,0.9871,0.149801,0.167825
26,0.35,13.35,113,caught,0.9866,0.9866,0.516007,0.25905
27,11.9,9.9,182,caught,0.9861,0.9861,0.491237,0.184383
28,-2.0,-13.0,400,timeout,0.9856,0.9856,0.943759,0.44611
29,9.0,-14.0,400,timeout,0.9851,0.9851,0.27199,0.219056
30,-0.65,12.35,133,caught,0.9846,0.9846,0.799339,0.178035
31,9.0,-14.0,400,timeout,0.9841,0.9841,0.243253,0.369356
32,6.55,9.55,189,caught,0.9836,0.9836,0.342686,0.240645
33,-0.5,-14.5,400,timeout,0.9831,0.9831,0.267356,0.237066
34,-3.5,9.5,190,caught,0.9826,0.9826,0.351788,0.201764
35,-14.0,-16.0,400,timeout,0.9822,0.9822,0.231952,0.194319
36,-12.5,-17.5,400,timeout,0.9817,0.9817,0.224907,0.14034
37,-4.2,8.8,204,caught,0.9812,0.9812,0.18783,0.145149
38,4.5,-14.5,400,timeout,0.9807,0.9807,0.250476,0.187659
39,-6.0,2.0,340,timeout,0.9802,0.9802,0.296678,0.176929
40,26.0,-16.0,400,cleared,0.9797,0.9797,0.345993,0.172811
41,8.0,-13.0,400,timeout,0.9792,0.9792,0.149326,0.177984
42,17.5,5.5,270,caught,0.9787,0.9787,0.644635,0.141197
43,6.5,-0.5,390,timeout,0.9782,0.9782,0.274476,0.172083
44,-25.15,7.85,223,caught,0.9777,0.9777,0.161896,0.136363
45,10.5,-15.5,400,cleared,0.9773,0.9773,0.209881,0.18925
46,-7.75,15.25,75,caught,0.9768,0.9768,0.258689,0.287474
47,-2.55,10.45,171,caught,0.9763,0.9763,0.280861,0.553284
48,-14.85,13.15,117,caught,0.9758,0.9758,0.27632,0.2137
49,17.0,-17.0,400,cleared,0.9753,0.9753,0.310293,0.172342
50,-10.7,7.3,234,caught,0.9748,0.9748,0.199724,0.136267
51,9.0,-14.0,400,timeout,0.9743,0.9743,0.424067,0.275761
52,8.25,6.25,255,caught,0.9738,0.9738,0.312378,0.306886
